cell_id,time_bucket,temp_c,feels_like_c,precipitation_type,precipitation_mm,snow_depth_cm,wind_speed_ms,wind_gust_ms,humidity_pct,pressure_hpa,visibility_m
55.82_37.71,2022-11-30 20:00:00,-10.4,-14.844541,none,0.0,14.0,7.2,14.04,88.73712,1024.4385,
55.82_37.72,2022-09-24 01:00:00,9.6,6.9740295,rain,0.7,0.0,14.77755,25.56,90.984505,989.73047,
55.82_37.72,2022-12-15 08:00:00,-6.05,-10.9782295,none,0.0,27.000002,13.049689,23.039999,90.51123,1001.8687,
55.82_37.72,2022-12-17 13:00:00,-4.45,-9.882568,snow,0.1,32.0,17.462784,35.28,89.26255,1002.1975,
55.82_37.72,2023-03-10 09:00:00,-7.15,-12.694891,none,0.0,52.0,16.179987,25.919998,85.617546,984.4433,
55.82_37.73,2022-09-12 16:00:00,14.3,10.277824,none,0.0,0.0,20.268991,38.88,56.241833,999.57214,
55.82_37.74,2022-10-14 17:00:00,7.15,3.9692001,none,0.0,0.0,8.225035,15.119999,64.48962,1004.7968,
55.82_37.74,2022-12-24 00:00:00,1.3,-3.7777681,none,0.0,39.0,20.620804,36.36,93.38608,986.4441,
55.82_37.74,2023-01-24 08:00:00,-3.9,-7.863851,none,0.0,32.0,7.9036193,17.28,90.330605,1017.9272,
55.82_37.74,2023-02-14 20:00:00,-0.9,-7.1862035,none,0.0,41.0,25.562534,41.399998,85.02681,996.15265,
55.82_37.75,2022-12-08 17:00:00,-6.45,-12.364825,none,0.0,15.000001,18.775301,33.12,81.77645,999.8262,
55.82_37.75,2022-12-22 07:00:00,0.95,-4.5589333,rain,0.4,44.0,22.682856,38.16,90.036156,987.8659,
55.82_37.76,2022-11-26 06:00:00,-6.3,-11.453388,none,0.0,15.000001,14.05845,25.919998,86.381935,1010.9253,
55.82_37.76,2023-01-02 11:00:00,-1.55,-7.819868,none,0.0,35.0,23.795427,40.68,76.45775,993.43524,
55.82_37.78,2022-11-09 11:00:00,7.6,4.4370117,none,0.0,0.0,15.856354,27.0,93.70443,998.3721,
55.82_37.8,2022-09-10 16:00:00,14.55,11.920122,none,0.0,0.0,4.8433046,14.759999,40.43941,1007.2298,
55.82_37.81,2022-11-03 14:00:00,1.35,-2.2427766,none,0.0,1.0,7.491114,16.56,74.702736,997.67737,
55.82_37.81,2023-03-19 19:00:00,-2.05,-6.042656,none,0.0,44.0,8.217153,13.32,79.62474,1003.9771,
55.82_37.82,2022-09-08 00:00:00,6.05,3.7425876,none,0.0,0.0,8.209263,15.119999,96.26595,993.54724,
55.82_37.82,2022-09-16 20:00:00,12.65,11.6374035,rain,0.3,0.0,10.446206,24.48,93.63386,977.15436,
55.82_37.83,2022-11-24 22:00:00,-6.0,-10.490557,none,0.0,15.000001,9.793059,19.8,87.42347,1002.54724,
55.82_37.83,2023-01-15 18:00:00,-3.55,-9.273569,none,0.0,38.0,20.008356,36.719997,88.33049,1002.9154,
55.82_37.83,2023-01-16 18:00:00,-4.65,-10.528799,none,0.0,38.0,20.345573,39.239998,88.90545,996.02655,
55.82_37.84,2022-12-03 09:00:00,-9.3,-14.649687,none,0.0,14.0,13.479583,27.359999,82.355446,1025.3739,
55.82_37.84,2023-01-20 17:00:00,2.0,-3.1054013,rain,0.2,33.0,19.917469,36.0,83.51131,1001.88336,
55.83_37.35,2022-12-18 13:00:00,-5.65,-12.890178,snow,0.3,44.0,28.58545,48.6,84.468575,994.5579,
55.83_37.35,2023-02-15 05:00:00,-3.25,-9.17872,none,0.0,38.0,21.046917,37.44,83.15996,999.0571,
55.83_37.36,2023-01-22 17:00:00,-3.2,-6.9037523,none,0.0,29.0,6.696387,11.5199995,90.725235,1016.15485,
55.83_37.37,2022-10-04 19:00:00,8.35,5.200865,none,0.0,0.0,12.959999,24.84,78.34321,993.72186,
55.83_37.37,2022-12-28 21:00:00,-1.6,-6.5974317,none,0.0,39.0,16.595179,28.08,88.50761,996.3958,
55.83_37.37,2023-02-15 12:00:00,-3.3,-9.974961,none,0.0,38.0,24.967499,48.239998,72.997574,1006.2004,
55.83_37.39,2022-09-14 08:00:00,10.25,8.142797,none,0.0,0.0,13.979872,25.919998,96.38665,986.70306,
55.83_37.39,2022-09-16 15:00:00,14.0,12.629492,rain,0.4,0.0,13.5515,31.68,87.46083,979.8589,
55.83_37.39,2022-12-07 22:00:00,-9.5,-16.223698,none,0.0,14.0,21.933426,38.88,70.02719,1007.157,
55.83_37.4,2022-12-14 08:00:00,-5.45,-9.184805,snow,0.1,25.0,5.3999996,15.84,91.95593,982.67865,
55.83_37.4,2022-12-26 23:00:00,-7.1,-12.355168,none,0.0,36.0,14.693999,25.56,91.13657,1008.9463,
55.83_37.4,2023-01-21 15:00:00,-3.2,-8.162204,none,0.0,30.000002,14.168641,22.319998,80.67164,1011.6178,
55.83_37.41,2022-11-09 12:00:00,8.55,5.7667484,none,0.0,0.0,14.904173,28.8,94.070564,999.8081,
55.83_37.41,2023-01-26 15:00:00,-2.4,-7.802714,rain,0.1,29.0,18.626305,35.64,87.774376,1002.9556,
55.83_37.42,2022-11-11 18:00:00,7.7,4.640583,none,0.0,0.0,14.986553,28.8,92.4304,1003.8578,
55.83_37.42,2023-03-06 13:00:00,-2.75,-7.706921,none,0.0,48.0,14.168641,25.56,78.31603,982.62427,
55.83_37.43,2022-10-10 10:00:00,8.45,5.3150673,none,0.0,0.0,15.188415,28.8,86.63853,1006.38904,
55.83_37.43,2023-02-25 14:00:00,1.3,-3.0063686,none,0.0,43.0,14.799459,22.319998,90.063286,979.26654,
55.83_37.44,2022-08-22 20:00:00,25.15,22.711815,none,0.0,0.0,18.504139,33.12,40.67279,1006.8184,
55.83_37.44,2022-10-29 19:00:00,9.0,6.251438,rain,0.1,0.0,15.530151,26.64,94.4111,987.8335,
55.83_37.44,2022-10-30 17:00:00,2.75,-3.7388222,none,0.0,0.0,26.785547,46.079998,64.41637,981.7908,
55.83_37.44,2023-02-21 09:00:00,-14.95,-20.542934,none,0.0,42.0,12.88981,20.16,80.52969,976.7093,
55.83_37.45,2022-09-23 15:00:00,12.7,9.709121,none,0.0,0.0,14.20062,26.64,65.280014,995.89954,
55.83_37.45,2022-09-30 17:00:00,14.9,13.805412,rain,0.1,0.0,13.684735,27.0,87.54285,994.77893,
55.83_37.45,2022-09-30 18:00:00,14.0,13.462576,rain,0.1,0.0,9.178235,22.68,90.97884,995.60034,
55.83_37.45,2022-11-27 18:00:00,-4.0,-9.174941,none,0.0,15.000001,15.876775,27.72,87.95408,1014.0578,
55.83_37.49,2022-09-08 14:00:00,10.8,5.80145,none,0.0,0.0,22.45315,36.719997,56.127834,998.3549,
55.83_37.49,2022-10-03 19:00:00,8.8,3.303852,rain,0.2,0.0,28.84047,48.6,75.20257,978.7705,
