year,month,season,day_of_week,time_of_day,is_weekend,dtp_count,dead_total,injured_total,dead_children_total,injured_children_total,pct_speed_viol,pct_priority_viol,pct_bad_road,pct_pedestrian,pct_night,pct_severity_fatal
2022,4,Весна,2,День (12–18),False,38,4,36,0,5,0.02631578947368421,0.05263157894736842,0.13157894736842105,0.3684210526315789,0.0,0.10526315789473684
2022,4,Весна,2,Ночь (22–6),False,10,0,15,0,0,0.4,0.0,0.1,0.1,1.0,0.0
2022,4,Весна,2,Утро (6–12),False,29,1,32,0,7,0.10344827586206896,0.06896551724137931,0.13793103448275862,0.3793103448275862,0.0,0.034482758620689655
2022,4,Весна,3,Вечер (18–22),False,14,1,15,0,3,0.0,0.0,0.14285714285714285,0.42857142857142855,0.0,0.07142857142857142
2022,4,Весна,3,День (12–18),False,36,1,40,0,8,0.027777777777777776,0.05555555555555555,0.1388888888888889,0.4166666666666667,0.0,0.027777777777777776
2022,4,Весна,3,Ночь (22–6),False,12,1,14,0,0,0.3333333333333333,0.08333333333333333,0.16666666666666666,0.16666666666666666,1.0,0.08333333333333333
2022,4,Весна,3,Утро (6–12),False,23,0,23,0,2,0.043478260869565216,0.0,0.17391304347826086,0.5217391304347826,0.0,0.0
2022,4,Весна,4,Вечер (18–22),False,30,1,37,0,2,0.0,0.16666666666666666,0.06666666666666667,0.4666666666666667,0.0,0.03333333333333333
2022,4,Весна,4,День (12–18),False,49,1,52,0,5,0.04081632653061224,0.061224489795918366,0.061224489795918366,0.40816326530612246,0.0,0.02040816326530612
2022,4,Весна,4,Ночь (22–6),False,13,0,16,0,0,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.15384615384615385,1.0,0.0
2022,4,Весна,4,Утро (6–12),False,25,2,25,0,2,0.08,0.0,0.12,0.48,0.0,0.08
2022,4,Весна,5,Вечер (18–22),True,27,2,30,0,2,0.2222222222222222,0.037037037037037035,0.07407407407407407,0.18518518518518517,0.0,0.07407407407407407
2022,4,Весна,5,День (12–18),True,36,3,40,0,5,0.1111111111111111,0.0,0.1111111111111111,0.4166666666666667,0.0,0.027777777777777776
2022,4,Весна,5,Ночь (22–6),True,12,1,14,0,0,0.16666666666666666,0.25,0.08333333333333333,0.25,1.0,0.08333333333333333
2022,4,Весна,5,Утро (6–12),True,18,1,21,0,1,0.16666666666666666,0.0,0.0,0.2222222222222222,0.0,0.05555555555555555
2022,4,Весна,6,Вечер (18–22),True,16,2,15,0,2,0.1875,0.125,0.125,0.3125,0.0,0.125
2022,4,Весна,6,День (12–18),True,25,1,30,0,3,0.04,0.12,0.16,0.36,0.0,0.04
2022,4,Весна,6,Ночь (22–6),True,18,0,23,0,2,0.3888888888888889,0.05555555555555555,0.05555555555555555,0.16666666666666666,1.0,0.0
2022,4,Весна,6,Утро (6–12),True,7,1,7,0,0,0.7142857142857143,0.0,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285
2022,5,Весна,0,Вечер (18–22),False,29,1,29,0,4,0.1724137931034483,0.034482758620689655,0.10344827586206896,0.2413793103448276,0.0,0.034482758620689655
2022,5,Весна,0,День (12–18),False,49,3,58,0,9,0.061224489795918366,0.02040816326530612,0.10204081632653061,0.2857142857142857,0.0,0.061224489795918366
