dtp_id,moment_date,year,month,day_of_week,hour,time_of_day,season,is_weekend,is_night,is_rush_hour,type_code,type_name_decoded,type_group,severity,dead_count,injured_count,dead_children_count,injured_children_count,vehicles_count,participant_count,area_id,district_id,source_year,place_latitude,place_longitude,road_type_code,street_name,road_name,road_loc,traffic_lane_amount,srf_code,road_sign_code
502204427,2022-01-04,2022,1,1,15,День (12–18),Зима,False,False,False,6,Конфликт с велотранспортом,Велосипедный / СИМ конфликт,Ранение,0,1,0,0,2,2,1,150,input/2022,55.776959,37.733499,,Вольная ул,,,2.0,Асфальтобетонное,
502177627,2022-01-04,2022,1,1,6,Утро (6–12),Зима,False,False,False,1,Столкновение ТС,Столкновение,Ранение,0,1,0,0,2,3,9,87,input/2022,55.710927,37.622262,,Большая Тульская ул,,,5.0,Асфальтобетонное,
502225627,2022-01-04,2022,1,1,17,День (12–18),Зима,False,False,True,3,Наезд на стоящее ТС,Наезд на ТС,Ранение,0,3,0,0,3,4,9,13,input/2022,55.705142,37.593895,,,Третье транспортное кольцо - внешняя сторона,2025-08-07 00:00:00,5.0,Асфальтобетонное,
502301427,2022-01-04,2022,1,1,19,Вечер (18–22),Зима,False,False,True,1,Столкновение ТС,Столкновение,Ранение,0,1,0,0,3,3,6,57,input/2022,55.783765,37.370145,,,Московская кольцевая автомобильная дорога (МКАД) внутренняя сторона,63,5.0,Асфальтобетонное,
502224227,2022-01-04,2022,1,1,13,День (12–18),Зима,False,False,False,5,Наезд на пешехода,Пешеходный конфликт,Ранение,0,1,0,0,1,2,8,134,input/2022,55.769869,37.584701,,Красина ул,,,3.0,Асфальтобетонное,
502232627,2022-01-04,2022,1,1,21,Вечер (18–22),Зима,False,False,False,4,Наезд на препятствие,Наезд на препятствие,Ранение,0,1,0,0,2,1,2,85,input/2022,55.702549,37.397858,,,Московская кольцевая автомобильная дорога (МКАД) внешняя сторона,53,5.0,Асфальтобетонное,
502258427,2022-01-05,2022,1,2,9,Утро (6–12),Зима,False,False,True,4,Наезд на препятствие,Наезд на препятствие,Ранение,0,1,0,0,1,1,7,70,input/2022,55.628359,37.427899,,,"""Украина"" Москва - Калуга - Брянск - граница с Украиной (основное направление)",2025-07-19 00:00:00,4.0,Асфальтобетонное,
502288227,2022-01-05,2022,1,2,13,День (12–18),Зима,False,False,False,1,Столкновение ТС,Столкновение,Ранение,0,1,0,0,5,2,8,6,input/2022,55.722143,37.622423,,Люсиновская ул,,,5.0,Асфальтобетонное,
502293427,2022-01-05,2022,1,2,14,День (12–18),Зима,False,False,False,1,Столкновение ТС,Столкновение,Ранение,0,1,0,0,2,3,1,14,input/2022,55.802789,37.719251,,Знаменская ул,,,2.0,Асфальтобетонное,
502307027,2022-01-05,2022,1,2,14,День (12–18),Зима,False,False,False,3,Наезд на стоящее ТС,Наезд на ТС,Ранение,0,2,0,0,2,2,4,5,input/2022,55.87135,37.501981,,Зеленоградская ул,Северо-Восточная хорда (СВХ),14,2.0,Асфальтобетонное,
