cell_id,year,dtp_count,dead_total,injured_total,dead_children_total,pct_fatal,pct_injured,pct_speed_viol,pct_priority_viol,pct_pedestrian,pct_bad_road,pct_night,pct_weekend,pct_rush_hour,pct_at_intersection,pct_on_open_road,pct_has_camera,pct_has_crosswalk_pt,pct_has_traffic_light,pct_has_bus_stop,avg_lane_width_m,avg_dist_intersection,avg_dist_crosswalk,avg_dist_bus_stop,avg_poi_100m,avg_poi_300m,mortality_rate,cell_h3_res,cell_has_traffic_light,cell_has_crosswalk,cell_has_bus_stop,cell_is_intersection,cell_is_open_road,cell_has_camera,cell_traffic_lane_amount,cell_lane_width_m,cell_is_multilane,cell_distance_to_intersection_m,cell_distance_to_bus_stop_m,cell_poi_count_100m,cell_poi_count_300m,cell_crossing_density,cell_stop_density,cell_speed_limit,cell_road_class,cell_landuse_type
8811aa6119fffff,2024,8,1,7,0,0.125,0.875,0.125,0.0,0.625,0.125,0.0,0.125,0.375,0.25,0.25,0.0,0.0,0.0,0.25,47.20833333333333,200.261347114794,,199.12214992696357,0.0,4.0,0.125,8,0.0,0.0,0.3,0.25,0.25,0.0,2.1,52.19583333333334,0.2,200.261347114794,199.12214992696357,0.0,4.0,0.0,3.0,60.0,path,residential
8811aa611bfffff,2022,6,0,7,0,0.0,1.0,0.0,0.5,0.16666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,37.916666666666664,103.91983771623968,,85.07714899498635,1.0,7.0,0.0,8,0.0,0.0,0.3333333333333333,0.5238095238095238,0.1428571428571428,0.0,2.142857142857143,65.4484126984127,0.1428571428571428,103.9198377162397,85.07714899498635,1.0,7.0,0.0,4.0,60.0,service,residential
8811aa611bfffff,2023,6,0,6,0,0.0,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.5,132.36111111111111,103.91983771623968,,85.07714899498635,1.0,7.0,0.0,8,0.0,0.0,0.3333333333333333,0.5238095238095238,0.1428571428571428,0.0,2.142857142857143,65.4484126984127,0.1428571428571428,103.9198377162397,85.07714899498635,1.0,7.0,0.0,4.0,60.0,service,residential
8811aa611bfffff,2024,9,0,13,0,0.0,1.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.1111111111111111,0.1111111111111111,0.6666666666666666,0.3333333333333333,0.2222222222222222,0.0,0.0,0.0,0.0,39.19444444444444,103.9198377162397,,85.07714899498635,1.0,7.0,0.0,8,0.0,0.0,0.3333333333333333,0.5238095238095238,0.1428571428571428,0.0,2.142857142857143,65.4484126984127,0.1428571428571428,103.9198377162397,85.07714899498635,1.0,7.0,0.0,4.0,60.0,service,residential
8811aa611dfffff,2022,2,0,2,0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,50.75,432.6552495375547,,423.90448984147247,0.0,0.0,0.0,8,0.0,0.0,0.25,0.5,0.5,0.0,2.5,63.5,0.5,432.6552495375547,423.90448984147247,0.0,0.0,0.0,0.0,60.0,cycleway,park
8811aa611dfffff,2023,1,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,52.5,432.6552495375547,,423.90448984147247,0.0,0.0,1.0,8,0.0,0.0,0.25,0.5,0.5,0.0,2.5,63.5,0.5,432.6552495375547,423.90448984147247,0.0,0.0,0.0,0.0,60.0,cycleway,park
8811aa611dfffff,2024,1,0,1,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0,432.6552495375547,,423.90448984147247,0.0,0.0,0.0,8,0.0,0.0,0.25,0.5,0.5,0.0,2.5,63.5,0.5,432.6552495375547,423.90448984147247,0.0,0.0,0.0,0.0,60.0,cycleway,park
8811aa6121fffff,2022,5,0,5,0,0.0,1.0,0.0,0.0,0.6,0.0,0.2,0.0,0.4,0.6,0.2,0.0,0.0,0.0,0.0,41.16666666666667,168.17069230936767,,145.8142435039779,0.0,5.0,0.0,8,0.0,0.0,0.2857142857142857,0.5714285714285714,0.0714285714285714,0.0,2.2857142857142856,46.13095238095239,0.1428571428571428,168.17069230936767,145.8142435039779,0.0,5.0,0.0,3.0,60.0,service,residential
8811aa6121fffff,2023,5,0,5,0,0.0,1.0,0.0,0.0,0.2,0.0,0.2,0.4,0.6,0.6,0.0,0.0,0.0,0.0,0.6,55.7,168.17069230936767,,145.8142435039779,0.0,5.0,0.0,8,0.0,0.0,0.2857142857142857,0.5714285714285714,0.0714285714285714,0.0,2.2857142857142856,46.13095238095239,0.1428571428571428,168.17069230936767,145.8142435039779,0.0,5.0,0.0,3.0,60.0,service,residential
8811aa6121fffff,2024,4,0,6,0,0.0,1.0,0.0,0.0,1.0,0.25,0.0,0.75,0.0,0.5,0.0,0.0,0.0,0.0,0.25,40.375,168.17069230936767,,145.8142435039779,0.0,5.0,0.0,8,0.0,0.0,0.2857142857142857,0.5714285714285714,0.0714285714285714,0.0,2.2857142857142856,46.13095238095239,0.1428571428571428,168.17069230936767,145.8142435039779,0.0,5.0,0.0,3.0,60.0,service,residential
8811aa6123fffff,2022,5,1,7,0,0.2,0.8,0.0,0.0,0.4,0.0,0.2,0.0,0.2,0.4,0.0,0.0,0.0,1.0,0.4,43.8,75.44357452465283,,87.93956732811819,4.0,6.0,0.2,8,1.0,0.0,0.5714285714285714,0.5714285714285714,0.2142857142857142,0.0,2.7142857142857144,74.94642857142857,0.4285714285714285,75.44357452465283,87.93956732811819,4.0,6.0,0.0,2.0,60.0,footway,residential
8811aa6123fffff,2023,5,0,6,0,0.0,1.0,0.0,0.0,0.4,0.2,0.2,0.4,0.4,0.6,0.2,0.0,0.0,1.0,0.6,133.85,75.44357452465283,,87.93956732811819,4.0,6.0,0.0,8,1.0,0.0,0.5714285714285714,0.5714285714285714,0.2142857142857142,0.0,2.7142857142857144,74.94642857142857,0.4285714285714285,75.44357452465283,87.93956732811819,4.0,6.0,0.0,2.0,60.0,footway,residential
8811aa6123fffff,2024,4,0,4,0,0.0,1.0,0.0,0.0,1.0,0.0,0.25,0.25,0.5,0.75,0.5,0.0,0.0,1.0,0.75,40.25,75.44357452465283,,87.93956732811819,4.0,6.0,0.0,8,1.0,0.0,0.5714285714285714,0.5714285714285714,0.2142857142857142,0.0,2.7142857142857144,74.94642857142857,0.4285714285714285,75.44357452465283,87.93956732811819,4.0,6.0,0.0,2.0,60.0,footway,residential
